n,System,Edits,Valid %,Fallback %,First-try %,Median ms,Mean ms,Mean verts,Touched frac %,Mean retries
100,Full recompute,630,97.46,0.00,100.00,1.91,1.98,11.77,11.77,0.00
100,Fixed r=2,630,97.46,41.75,0.32,8.67,22.61,19.93,19.93,2.19
100,Majority r=0,630,97.46,65.87,33.17,3.97,6.35,11.04,11.04,1.99
100,RPI hop-shell,630,97.46,64.44,34.60,43.78,54.67,11.39,11.39,1.94
200,Full recompute,810,97.90,0.00,100.00,3.57,4.00,23.39,11.69,0.00
200,Fixed r=2,810,97.90,48.40,0.12,15.63,41.68,37.60,18.80,2.48
200,Majority r=0,810,97.90,67.04,31.73,5.82,8.82,22.07,11.04,2.02
200,RPI hop-shell,810,97.90,67.04,31.73,45.46,79.09,22.07,11.04,2.02
500,Full recompute,585,87.86,0.00,100.00,10.97,11.82,57.76,11.55,0.00
500,Fixed r=2,585,87.86,88.89,0.00,42.79,108.03,80.01,16.00,2.89
500,Majority r=0,585,88.03,71.79,27.69,15.54,19.19,53.96,10.79,2.16
500,RPI hop-shell,585,88.03,71.79,27.69,57.84,174.86,53.96,10.79,2.16
