graph_id,n,vertex,coverage_fraction
n100_s100007,100,59,1.0
n100_s100007,100,78,1.0
n100_s100007,100,2,1.0
n100_s100007,100,32,1.0
n100_s100007,100,30,0.99
n100_s100007,100,93,1.0
n100_s100007,100,69,1.0
n100_s100007,100,91,1.0
n100_s100007,100,42,1.0
n100_s100007,100,11,1.0
n100_s100007,100,17,1.0
n100_s100007,100,94,1.0
n100_s100007,100,55,0.98
n100_s100007,100,4,1.0
n100_s100007,100,22,0.99
n100_s100007,100,44,1.0
n100_s100007,100,90,1.0
n100_s100007,100,6,1.0
n100_s100007,100,19,1.0
n100_s100007,100,10,1.0
n100_s100008,100,79,1.0
n100_s100008,100,60,1.0
n100_s100008,100,10,1.0
n100_s100008,100,97,1.0
n100_s100008,100,55,1.0
n100_s100008,100,24,1.0
n100_s100008,100,83,1.0
n100_s100008,100,14,1.0
n100_s100008,100,0,1.0
n100_s100008,100,22,1.0
n100_s100008,100,45,1.0
n100_s100008,100,86,1.0
n100_s100008,100,42,1.0
n100_s100008,100,4,1.0
n100_s100008,100,95,0.99
n100_s100008,100,88,1.0
n100_s100008,100,71,1.0
n100_s100008,100,43,1.0
n100_s100008,100,47,1.0
n100_s100008,100,15,1.0
n100_s100020,100,58,1.0
n100_s100020,100,70,1.0
n100_s100020,100,23,1.0
n100_s100020,100,90,1.0
n100_s100020,100,98,1.0
n100_s100020,100,49,1.0
n100_s100020,100,39,1.0
n100_s100020,100,22,1.0
n100_s100020,100,3,1.0
n100_s100020,100,84,1.0
n100_s100020,100,71,1.0
n100_s100020,100,86,1.0
n100_s100020,100,45,1.0
n100_s100020,100,42,1.0
n100_s100020,100,24,0.99
n100_s100020,100,26,1.0
n100_s100020,100,19,1.0
n100_s100020,100,63,1.0
n100_s100020,100,91,1.0
n100_s100020,100,7,1.0
n100_s100022,100,65,1.0
n100_s100022,100,92,1.0
n100_s100022,100,96,1.0
n100_s100022,100,30,1.0
n100_s100022,100,71,1.0
n100_s100022,100,87,1.0
n100_s100022,100,74,1.0
n100_s100022,100,46,1.0
n100_s100022,100,15,1.0
n100_s100022,100,68,1.0
n100_s100022,100,99,1.0
n100_s100022,100,89,1.0
n100_s100022,100,93,1.0
n100_s100022,100,84,1.0
n100_s100022,100,80,1.0
n100_s100022,100,19,1.0
n100_s100022,100,48,1.0
n100_s100022,100,36,1.0
n100_s100022,100,50,1.0
n100_s100022,100,56,1.0
n100_s100027,100,20,1.0
n100_s100027,100,60,1.0
n100_s100027,100,44,1.0
n100_s100027,100,74,1.0
n100_s100027,100,41,1.0
n100_s100027,100,83,1.0
n100_s100027,100,6,1.0
n100_s100027,100,19,1.0
n100_s100027,100,50,1.0
n100_s100027,100,68,1.0
n100_s100027,100,67,1.0
n100_s100027,100,17,1.0
n100_s100027,100,85,0.93
n100_s100027,100,64,1.0
n100_s100027,100,86,1.0
n100_s100027,100,36,1.0
n100_s100027,100,77,1.0
n100_s100027,100,34,1.0
n100_s100027,100,7,1.0
n100_s100027,100,46,1.0
n100_s100044,100,67,1.0
n100_s100044,100,69,1.0
n100_s100044,100,74,1.0
n100_s100044,100,18,1.0
n100_s100044,100,25,1.0
n100_s100044,100,49,1.0
n100_s100044,100,54,1.0
n100_s100044,100,32,1.0
n100_s100044,100,78,1.0
n100_s100044,100,16,1.0
n100_s100044,100,61,1.0
n100_s100044,100,50,1.0
n100_s100044,100,62,1.0
n100_s100044,100,77,1.0
n100_s100044,100,41,1.0
n100_s100044,100,1,1.0
n100_s100044,100,35,1.0
n100_s100044,100,72,1.0
n100_s100044,100,90,1.0
n100_s100044,100,81,1.0
n100_s100045,100,47,1.0
n100_s100045,100,20,1.0
n100_s100045,100,45,1.0
n100_s100045,100,89,1.0
n100_s100045,100,77,1.0
n100_s100045,100,4,1.0
n100_s100045,100,42,1.0
n100_s100045,100,50,1.0
n100_s100045,100,6,1.0
n100_s100045,100,97,1.0
n100_s100045,100,10,1.0
n100_s100045,100,16,1.0
n100_s100045,100,5,1.0
n100_s100045,100,48,1.0
n100_s100045,100,29,1.0
n100_s100045,100,30,1.0
n100_s100045,100,70,1.0
n100_s100045,100,38,1.0
n100_s100045,100,90,1.0
n100_s100045,100,11,1.0
n100_s100046,100,51,1.0
n100_s100046,100,17,1.0
n100_s100046,100,58,0.8888888888888888
n100_s100046,100,61,1.0
n100_s100046,100,83,1.0
n100_s100046,100,2,1.0
n100_s100046,100,67,1.0
n100_s100046,100,78,0.9797979797979798
n100_s100046,100,44,1.0
n100_s100046,100,52,1.0
n100_s100046,100,25,1.0
n100_s100046,100,29,1.0
n100_s100046,100,77,1.0
n100_s100046,100,33,1.0
n100_s100046,100,37,1.0
n100_s100046,100,38,0.98989898989899
n100_s100046,100,45,1.0
n100_s100046,100,15,1.0
n100_s100046,100,9,1.0
n100_s100046,100,68,1.0
n100_s100055,100,34,1.0
n100_s100055,100,1,0.96
n100_s100055,100,74,1.0
n100_s100055,100,70,1.0
n100_s100055,100,39,1.0
n100_s100055,100,59,1.0
n100_s100055,100,61,1.0
n100_s100055,100,64,1.0
n100_s100055,100,24,1.0
n100_s100055,100,0,1.0
n100_s100055,100,77,1.0
n100_s100055,100,2,1.0
n100_s100055,100,7,1.0
n100_s100055,100,35,1.0
n100_s100055,100,60,1.0
n100_s100055,100,83,1.0
n100_s100055,100,84,1.0
n100_s100055,100,86,1.0
n100_s100055,100,76,1.0
n100_s100055,100,99,1.0
n100_s100059,100,85,1.0
n100_s100059,100,45,1.0
n100_s100059,100,21,1.0
n100_s100059,100,52,1.0
n100_s100059,100,63,1.0
n100_s100059,100,24,0.99
n100_s100059,100,90,1.0
n100_s100059,100,93,1.0
n100_s100059,100,68,1.0
n100_s100059,100,3,1.0
n100_s100059,100,34,1.0
n100_s100059,100,84,1.0
n100_s100059,100,54,1.0
n100_s100059,100,62,1.0
n100_s100059,100,89,1.0
n100_s100059,100,83,1.0
n100_s100059,100,16,1.0
n100_s100059,100,25,1.0
n100_s100059,100,30,1.0
n100_s100059,100,11,1.0
n100_s100074,100,29,1.0
n100_s100074,100,42,1.0
n100_s100074,100,12,1.0
n100_s100074,100,58,1.0
n100_s100074,100,30,1.0
n100_s100074,100,4,1.0
n100_s100074,100,14,1.0
n100_s100074,100,16,1.0
n100_s100074,100,47,1.0
n100_s100074,100,0,1.0
n100_s100074,100,10,0.99
n100_s100074,100,19,0.95
n100_s100074,100,41,1.0
n100_s100074,100,28,1.0
n100_s100074,100,62,1.0
n100_s100074,100,99,0.99
n100_s100074,100,98,1.0
n100_s100074,100,46,0.97
n100_s100074,100,91,1.0
n100_s100074,100,67,1.0
n100_s100076,100,47,1.0
n100_s100076,100,37,1.0
n100_s100076,100,45,1.0
n100_s100076,100,22,1.0
n100_s100076,100,52,1.0
n100_s100076,100,87,1.0
n100_s100076,100,43,1.0
n100_s100076,100,27,1.0
n100_s100076,100,79,1.0
n100_s100076,100,92,1.0
n100_s100076,100,42,1.0
n100_s100076,100,55,1.0
n100_s100076,100,60,1.0
n100_s100076,100,34,1.0
n100_s100076,100,46,1.0
n100_s100076,100,29,1.0
n100_s100076,100,76,1.0
n100_s100076,100,26,1.0
n100_s100076,100,68,1.0
n100_s100076,100,51,0.99
n100_s100089,100,33,1.0
n100_s100089,100,63,1.0
n100_s100089,100,58,1.0
n100_s100089,100,3,1.0
n100_s100089,100,19,1.0
n100_s100089,100,62,1.0
n100_s100089,100,81,1.0
n100_s100089,100,48,1.0
n100_s100089,100,98,1.0
n100_s100089,100,38,1.0
n100_s100089,100,6,1.0
n100_s100089,100,92,1.0
n100_s100089,100,77,1.0
n100_s100089,100,41,1.0
n100_s100089,100,84,1.0
n100_s100089,100,32,1.0
n100_s100089,100,50,1.0
n100_s100089,100,90,1.0
n100_s100089,100,28,1.0
n100_s100089,100,88,1.0
n100_s100090,100,10,1.0
n100_s100090,100,27,1.0
n100_s100090,100,53,1.0
n100_s100090,100,65,1.0
n100_s100090,100,62,1.0
n100_s100090,100,13,1.0
n100_s100090,100,0,1.0
n100_s100090,100,38,1.0
n100_s100090,100,92,1.0
n100_s100090,100,78,1.0
n100_s100090,100,25,1.0
n100_s100090,100,80,1.0
n100_s100090,100,24,1.0
n100_s100090,100,31,1.0
n100_s100090,100,34,1.0
n100_s100090,100,14,1.0
n100_s100090,100,74,1.0
n100_s100090,100,76,1.0
n100_s100090,100,83,1.0
n100_s100090,100,52,1.0
n200_s200001,200,168,1.0
n200_s200001,200,161,1.0
n200_s200001,200,162,1.0
n200_s200001,200,132,1.0
n200_s200001,200,140,0.995
n200_s200001,200,141,1.0
n200_s200001,200,23,0.99
n200_s200001,200,152,0.995
n200_s200001,200,98,0.99
n200_s200001,200,138,0.985
n200_s200001,200,0,1.0
n200_s200001,200,189,0.99
n200_s200001,200,197,0.925
n200_s200001,200,26,1.0
n200_s200001,200,50,0.99
n200_s200001,200,117,1.0
n200_s200001,200,185,0.995
n200_s200001,200,51,1.0
n200_s200001,200,160,1.0
n200_s200001,200,188,0.995
n200_s200006,200,13,0.995
n200_s200006,200,183,1.0
n200_s200006,200,111,1.0
n200_s200006,200,127,0.995
n200_s200006,200,152,1.0
n200_s200006,200,103,0.995
n200_s200006,200,80,1.0
n200_s200006,200,116,1.0
n200_s200006,200,88,0.995
n200_s200006,200,112,0.995
n200_s200006,200,121,0.995
n200_s200006,200,74,0.99
n200_s200006,200,49,0.995
n200_s200006,200,77,0.99
n200_s200006,200,40,0.99
n200_s200006,200,10,0.985
n200_s200006,200,53,0.99
n200_s200006,200,63,0.99
n200_s200006,200,192,0.995
n200_s200006,200,124,0.98
n200_s200011,200,27,1.0
n200_s200011,200,150,1.0
n200_s200011,200,21,1.0
n200_s200011,200,10,1.0
n200_s200011,200,11,1.0
n200_s200011,200,134,0.995
n200_s200011,200,62,1.0
n200_s200011,200,157,0.995
n200_s200011,200,88,1.0
n200_s200011,200,125,0.99
n200_s200011,200,122,0.995
n200_s200011,200,4,0.94
n200_s200011,200,145,0.98
n200_s200011,200,42,1.0
n200_s200011,200,108,0.995
n200_s200011,200,32,0.995
n200_s200011,200,165,0.995
n200_s200011,200,79,1.0
n200_s200011,200,52,1.0
n200_s200011,200,175,0.995
n200_s200024,200,181,1.0
